,id,lat,lon,PLZ,north-south tilt,tilt align loss,tilt align percent,z_score
32242,51.497186/10.461393,51.497186,10.461393,37345,2.27,0.12,11.87,0.39104484069161927
32340,51.497186/10.607561,51.497186,10.607561,nan,-2.89,0.11,10.69,0.06984437261550833
32438,51.497186/10.753729,51.497186,10.753729,99734,2.47,0.12,11.52,0.2957735154148068
32536,51.497186/10.899898,51.497186,10.899898,99765,0.41,0.13,13.35,0.793906444719284
32634,51.497186/11.046066,51.497186,11.046066,06536,-4.54,0.1,9.74,-0.18874922456441134
32732,51.497186/11.192234,51.497186,11.192234,06526,-2.47,0.12,12.26,0.49720431742863913
32830,51.497186/11.338403,51.497186,11.338403,nan,3.5,0.11,10.9,0.12700716778159613
32928,51.497186/11.484571,51.497186,11.484571,06295,2.89,0.11,11.27,0.22772256878851205
33026,51.497186/11.630739,51.497186,11.630739,06317,-1.44,0.13,12.88,0.6659706650618503
33124,51.497186/11.776908,51.497186,11.776908,nan,-0.41,0.13,13.29,0.7775742175289732
33222,51.497186/11.923076,51.497186,11.923076,06120,2.06,0.12,11.76,0.36110242417604976
33320,51.497186/12.069244,51.497186,12.069244,06116,-0.82,0.13,12.79,0.6414723242763838
33418,51.497186/12.215413,51.497186,12.215413,04509,-0.0,0.13,13.0,0.6986351194424715
33516,51.497186/12.361581,51.497186,12.361581,04509,0.0,0.13,13.0,0.6986351194424715
33614,51.497186/12.507749,51.497186,12.507749,04838,0.0,0.13,13.0,0.6986351194424715
33712,51.497186/12.653918,51.497186,12.653918,04838,0.41,0.13,12.75,0.6305841728161768
33810,51.573235/9.876719,51.573235,9.876719,37079,1.24,0.13,13.07,0.7176893844978341
33908,51.573235/10.022888,51.573235,10.022888,37077,3.71,0.13,12.64,0.6006417563006073
34006,51.573235/10.169056,51.573235,10.169056,37136,-1.65,0.13,13.14,0.7367436495531967
34104,51.573235/10.315224,51.573235,10.315224,37412,-4.33,0.1,9.53,-0.24591201973049914
34202,51.573235/10.461393,51.573235,10.461393,37345,7.87,0.08,8.28,-0.5861667528619726
34300,51.573235/10.607561,51.573235,10.607561,37445,4.75,0.11,10.69,0.06984437261550833
34398,51.573235/10.753729,51.573235,10.753729,99768,8.5,0.08,7.9,-0.6896041917339403
34496,51.573235/10.899898,51.573235,10.899898,99768,7.25,0.09,8.65,-0.4854513518550562
34594,51.573235/11.046066,51.573235,11.046066,nan,8.5,0.09,8.76,-0.4555089353394867
34692,51.573235/11.192234,51.573235,11.192234,06526,4.33,0.12,12.38,0.5298687718092608
34790,51.573235/11.338403,51.573235,11.338403,06343,-0.21,0.13,13.19,0.7503538388784553
34888,51.573235/11.484571,51.573235,11.484571,06308,2.27,0.12,11.64,0.3284379697954285
34986,51.573235/11.630739,51.573235,11.630739,06347,-0.62,0.13,12.63,0.5979197184355556
35084,51.573235/11.776908,51.573235,11.776908,06198,-8.5,0.08,7.9,-0.6896041917339403
35182,51.573235/11.923076,51.573235,11.923076,06193,-0.41,0.13,12.98,0.6931910437123681
35280,51.573235/12.069244,51.573235,12.069244,06193,-2.47,0.11,11.02,0.15967162216221736
35378,51.573235/12.215413,51.573235,12.215413,06796,0.0,0.13,13.0,0.6986351194424715
35476,51.573235/12.361581,51.573235,12.361581,06808,-1.65,0.12,12.37,0.5271467339442086
35574,51.573235/12.507749,51.573235,12.507749,04849,-4.13,0.1,9.7,-0.19963737602461876
35672,51.573235/12.653918,51.573235,12.653918,04849,-1.03,0.12,12.18,0.4754280145082248
35770,51.649284/9.876719,51.649284,9.876719,37181,2.27,0.12,11.64,0.3284379697954285
35868,51.649284/10.022888,51.649284,10.022888,nan,-6.62,0.11,11.13,0.18961403867778737
35966,51.649284/10.169056,51.649284,10.169056,37199,-2.47,0.13,12.72,0.6224180592210217
36064,51.649284/10.315224,51.649284,10.315224,37412,-3.09,0.11,11.14,0.19233607654283907
36162,51.649284/10.461393,51.649284,10.461393,37431,9.98,0.12,11.61,0.3202718562002728
36260,51.649284/10.607561,51.649284,10.607561,37445,4.95,0.11,11.43,0.2712751746293407
36358,51.649284/10.753729,51.649284,10.753729,38877,-10.62,0.02,2.44,-2.175836866052217
36456,51.649284/10.899898,51.649284,10.899898,38899,-0.41,0.13,13.33,0.7884623689891805
36554,51.649284/11.046066,51.649284,11.046066,06493,-1.24,0.13,12.56,0.578865453380193
36652,51.649284/11.192234,51.649284,11.192234,06493,13.85,0.06,5.59,-1.3183949385609035
36750,51.649284/11.338403,51.649284,11.338403,06456,-1.65,0.13,12.75,0.6305841728161768
36848,51.649284/11.484571,51.649284,11.484571,06333,2.89,0.12,12.08,0.448207635857707
36946,51.649284/11.630739,51.649284,11.630739,06347,-2.06,0.11,11.35,0.24949887170892637
37044,51.649284/11.776908,51.649284,11.776908,06420,-1.44,0.12,11.85,0.3856007649615158
37142,51.649284/11.923076,51.649284,11.923076,06388,1.03,0.12,12.38,0.5298687718092608
37240,51.649284/12.069244,51.649284,12.069244,06780,1.24,0.13,12.73,0.6251400970860733
37338,51.649284/12.215413,51.649284,12.215413,06766,0.41,0.13,12.79,0.6414723242763838
37436,51.649284/12.507749,51.649284,12.507749,06774,-3.3,0.11,11.02,0.15967162216221736
37534,51.649284/12.653918,51.649284,12.653918,06905,-1.44,0.13,12.87,0.6632486271967981
